day,osr,asr,psr,meanSur,numOff,femalePC,malePC,preference,ornaments,popSize,mateMale,mateFemale,careMale,careFemale,recoMale,recoFemale,juvMale,juvFemale
0,0.5,0.5,0,0,0,10,10,0,0,1965,2,0,980,983,0,0,0,0
5000,0.625369,0.506428,0.519481,0.0278746,8,9.99985,9.99465,0,0,6537,344,268,548,538,2345,2345,75,74
10000,0.445255,0.499152,0.494737,0.0162338,5,9.99681,9.98572,0,0,6583,45,59,2387,2400,803,789,50,50
15000,0.490501,0.498693,0.468354,0.0217391,2,9.99453,9.98692,0,0,6576,214,226,2573,2572,454,458,37,42
20000,0.527454,0.503383,0.47619,0.025,5,9.99576,9.98425,0,0,6605,337,299,1661,1658,1273,1278,51,48
25000,0.501695,0.500232,0.544304,0.00617284,2,9.99464,10.006,0,0,6532,158,158,1810,1807,1261,1261,41,36
30000,0.459391,0.498502,0.483871,0.0181818,3,9.99316,9.98212,0,0,6431,154,183,2264,2257,743,735,44,51
35000,0.603306,0.508725,0.41,0.00606061,1,9.9873,9.96764,0,0,6458,350,235,1993,2004,892,887,40,57
40000,0.590909,0.505602,0.490741,0.0299145,7,9.98186,9.94557,0,0,6449,263,209,1860,1843,1080,1082,57,55
45000,0.541966,0.501654,0.516129,0.0182927,3,9.96211,9.93509,0,0,6440,234,207,2076,2076,873,880,47,47
50000,0.582353,0.50607,0.472527,0.025641,5,9.97499,9.93422,0,0,6598,249,173,2017,2030,1024,1011,45,49
55000,0.563941,0.504563,0.485149,0.0246914,4,9.95975,9.93296,0,0,6459,266,201,1946,1943,1000,1004,46,53
60000,0.568584,0.504423,0.474747,0.0333333,7,9.91813,9.93753,0,0,6547,254,198,1940,1927,1058,1070,49,51
65000,0.373626,0.491593,0.43956,0.0042735,1,9.90636,9.92935,0,0,6568,188,330,1968,1953,1029,1012,37,51
70000,0.618962,0.5091,0.548077,0.0242718,5,9.9187,9.89139,0,0,6261,318,191,1864,1886,951,946,60,45
75000,0.43418,0.493776,0.456311,0.0382775,8,9.88619,9.8752,0,0,6370,207,276,1867,1863,1021,1029,51,56
80000,0.58125,0.505442,0.544554,0.0257732,5,9.88892,9.8601,0,0,6626,284,206,2028,2015,988,1004,55,46
85000,0.410684,0.490819,0.5,0.0216216,4,9.87807,9.83556,0,0,6586,220,333,2033,2021,932,947,49,51
90000,0.397089,0.491299,0.46988,0.0210526,4,9.84975,9.82044,0,0,6516,221,331,1991,1992,951,950,37,43
95000,0.393684,0.492244,0.577778,0.0497738,11,9.81095,9.73436,0,0,6411,205,307,1863,1889,1042,1009,53,43
100000,0.359664,0.483938,0.456522,0.0171429,3,9.78378,9.65563,0,0,6313,206,368,1936,1961,871,881,40,50
105000,0.453634,0.496366,0.552632,0.0364583,7,9.74681,9.64383,0,0,6584,203,241,1914,1942,1095,1073,64,52
110000,0.520833,0.498065,0.538462,0.0132743,3,9.7498,9.5906,0,0,6275,197,199,1920,1939,971,971,42,36
115000,0.503876,0.497257,0.494949,0.0193237,4,9.73727,9.58238,0,0,6482,207,196,1973,2006,994,1006,50,50
120000,0.529148,0.498852,0.505882,0.0179641,3,9.7215,9.51724,0,0,6614,226,198,1984,2031,1046,1045,43,41
125000,0.576497,0.500475,0.515789,0.0564972,10,9.65606,9.41519,0,0,6414,244,182,1910,1964,1005,1010,51,48
130000,0.577778,0.502114,0.535714,0.0222222,4,9.59941,9.35622,0,0,6468,317,215,1939,1978,955,987,42,35
135000,0.507317,0.494526,0.597826,0.0108696,2,9.53879,9.29894,0,0,6483,239,246,1887,1941,1034,1046,55,35
140000,0.604167,0.506447,0.574257,0.026738,5,9.50293,9.3029,0,0,6309,304,202,1852,1884,988,980,58,41
145000,0.581213,0.505606,0.595745,0.0195122,4,9.47285,9.29563,0,0,6427,314,222,1904,1959,985,952,55,36
150000,0.525229,0.499757,0.407407,0.0119048,2,9.40265,9.21499,0,0,6256,229,199,1762,1840,1097,1052,32,45
155000,0.525164,0.496908,0.521277,0.00847458,2,9.39422,9.15828,0,0,6400,234,214,1881,1934,1021,1026,47,43
160000,0.684976,0.513798,0.5,0.0153846,4,9.35124,9.09738,0,0,6346,421,206,1720,1770,1081,1068,40,40
165000,0.46472,0.49423,0.483871,0.0493274,11,9.29037,9.04957,0,0,6254,161,202,1838,1877,1043,1034,51,48
170000,0.33145,0.480441,0.533333,0.00440529,1,9.27273,8.99039,0,0,6347,201,375,1786,1820,1020,1059,45,41
175000,0.647986,0.508458,0.447917,0.0206186,4,9.24171,8.92675,0,0,6239,361,189,1743,1803,1021,1028,42,52
180000,0.433566,0.490491,0.419355,0.020202,4,9.21549,8.93082,0,0,6404,189,254,1927,1987,980,975,40,52
185000,0.521253,0.498619,0.57732,0.0111732,2,9.16904,8.81415,0,0,6247,251,204,1841,1927,977,955,55,37
190000,0.624016,0.504257,0.436782,0.0169492,4,9.10063,8.73978,0,0,6310,336,222,1730,1795,1068,1072,40,47
195000,0.476096,0.490429,0.521277,0.021097,5,9.05687,8.64423,0,0,6313,225,230,1786,1868,1040,1070,48,46
200000,0.555556,0.499758,0.45122,0.0257732,5,8.96406,8.6347,0,0,6288,266,219,1837,1909,1000,976,37,44
205000,0.593573,0.502374,0.436782,0.0194175,4,8.91346,8.57814,0,0,6194,297,220,1723,1801,1046,1018,39,50
210000,0.602763,0.506787,0.58209,0.019802,4,8.85826,8.52445,0,0,6258,338,213,1754,1811,1045,1031,39,27
215000,0.511022,0.49323,0.428571,0.0314136,6,8.76575,8.36851,0,0,6160,234,201,1787,1842,965,1023,46,62
220000,0.598113,0.50369,0.509615,0.0463918,9,8.75869,8.37869,0,0,6071,312,203,1683,1735,1009,1025,55,49
225000,0.659359,0.50857,0.460526,0.00471698,1,8.70803,8.31705,0,0,6141,406,220,1718,1764,960,1001,34,38
230000,0.535373,0.494482,0.456522,0.03,6,8.7134,8.25527,0,0,6162,256,243,1692,1794,1053,1029,43,52
235000,0.618143,0.503261,0.6,0.0190476,4,8.59631,8.1824,0,0,6069,334,212,1609,1671,1064,1086,57,36
240000,0.579498,0.499583,0.493671,0.0243902,6,8.53992,8.19819,0,0,6075,273,210,1636,1685,1084,1105,40,42
245000,0.51699,0.494752,0.586667,0.0252101,6,8.51305,8.12206,0,0,6169,239,222,1689,1748,1088,1104,45,34
250000,0.412281,0.490272,0.538462,0.0386266,9,8.45626,8.07247,0,0,6058,215,273,1494,1567,1215,1201,47,46
255000,0.587992,0.501271,0.526316,0.0172414,4,8.43464,8.02084,0,0,5998,289,203,1604,1647,1065,1097,52,41
260000,0.555328,0.495971,0.555556,0.0187793,4,8.36161,7.9304,0,0,6178,271,233,1741,1833,1003,998,54,45
265000,0.57671,0.500999,0.519481,0.0221239,5,8.28755,7.83007,0,0,6079,291,174,1697,1789,1025,1028,35,40
270000,0.556044,0.497676,0.552941,0.00966184,2,8.24894,7.80523,0,0,5889,277,215,1618,1697,995,1004,46,37
275000,0.649266,0.506053,0.457447,0.0285714,6,8.22903,7.73826,0,0,5960,387,188,1546,1672,1036,1038,40,53
280000,0.652098,0.506409,0.5,0.00490196,1,8.16505,7.69138,0,0,5774,391,204,1503,1619,991,987,39,40
285000,0.600858,0.498206,0.526882,0.00938967,2,8.14009,7.64968,0,0,5946,297,193,1535,1647,1085,1098,46,45
290000,0.617699,0.500602,0.493506,0.0313901,7,8.02138,7.66022,0,0,5892,336,240,1557,1643,1017,1022,39,38
295000,0.593878,0.501201,0.505618,0.0319635,7,7.92215,7.63036,0,0,5922,295,218,1560,1630,1070,1062,43,44
300000,0.631016,0.510012,0.478873,0.0366972,8,7.76602,7.51486,0,0,5821,349,189,1531,1590,1050,1034,36,42
305000,0.59375,0.50319,0.45977,0.010929,2,7.72299,7.48857,0,0,5729,306,233,1528,1594,1006,976,40,46
310000,0.442105,0.491726,0.411765,0,0,7.69409,7.46767,0,0,5799,202,258,1550,1610,1067,1047,27,38
315000,0.520095,0.499289,0.450549,0.00483092,1,7.59867,7.4283,0,0,5711,229,204,1472,1505,1108,1107,37,49
320000,0.560345,0.49911,0.486486,0.0138889,3,7.64664,7.37375,0,0,5691,262,221,1498,1546,1041,1050,37,36
325000,0.566406,0.502356,0.5,0.0176991,4,7.57623,7.33575,0,0,5805,287,211,1543,1625,1048,1015,35,41
330000,0.483806,0.492756,0.430233,0.0140187,3,7.52083,7.27676,0,0,5810,218,225,1563,1623,1043,1055,33,50
335000,0.547264,0.496296,0.506024,0.0241546,5,7.49027,7.16313,0,0,5756,261,249,1499,1564,1054,1044,45,40
340000,0.562874,0.497512,0.48,0.0228311,5,7.47293,7.14438,0,0,5707,274,195,1517,1579,1009,1055,39,39
345000,0.570909,0.502347,0.4875,0.004329,1,7.46206,7.1042,0,0,5614,281,194,1475,1537,1025,1023,39,40
350000,0.637363,0.510665,0.487805,0.0220994,4,7.38813,7.07668,0,0,5712,372,210,1510,1568,996,976,37,43
355000,0.572464,0.502408,0.56,0.0333333,7,7.4065,7.0882,0,0,5476,272,213,1397,1456,1045,1017,41,35
