day,sex,malep1,malet,malepc1,malepc2,femalep1,femalet,femalepc1,femalepc2,offp1,offt,offpc1,offpc2,offjuvdays
1000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
1000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
1000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
1000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
1000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
1000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
1000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
1000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
1000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
1000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
1000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
1000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
1000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
1000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
1000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
1000,male,0,0,10,10,0,0,10,10,0,0,11,10,20
1000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
1000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
1000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
1000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
1000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
1000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
1000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
1000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
1000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
1000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
3000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
3000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
3000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
3000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
3000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
3000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
3000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
3000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
3000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
3000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
3000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
3000,male,0,0,10,10,0,0,10,11,0,0,10,10,20
3000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
3000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
3000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
3000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
3000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
3000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
3000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
3000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
4000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
5000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
5000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
5000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
5000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
5000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
5000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
5000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
7000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
7000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
7000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
7000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
7000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
7000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
8000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
8000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
8000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
8000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
9000,male,0,0,10,10,0,0,10,9,0,0,10,9,20
9000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
10000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
10000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
10000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
10000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
10000,female,0,0,9,10,0,0,10,9,0,0,9,10,20
11000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
11000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
11000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
11000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
12000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
12000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
12000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
12000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
12000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
12000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
12000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
12000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
14000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
14000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
14000,male,0,0,11,10,0,0,10,10,0,0,10,10,20
14000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
14000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
14000,male,0,0,11,10,0,0,10,10,0,0,11,10,20
14000,male,0,0,11,10,0,0,10,10,0,0,11,10,20
14000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
14000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
14000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
14000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
14000,female,0,0,10,10,0,0,10,9,0,0,10,9,20
14000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
14000,female,0,0,11,10,0,0,10,10,0,0,10,10,20
14000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
14000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
15000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
15000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
16000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
16000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
16000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
16000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
16000,female,0,0,10,10,0,0,9,10,0,0,9,10,20
17000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
18000,male,0,0,10,10,0,0,9,10,0,0,9,10,20
18000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
18000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
18000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
18000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
18000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
18000,female,0,0,10,10,0,0,9,10,0,0,10,10,20
18000,male,0,0,10,9,0,0,10,9,0,0,10,9,20
18000,male,0,0,10,11,0,0,10,10,0,0,10,10,20
19000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
19000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
19000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
19000,male,0,0,11,10,0,0,10,10,0,0,10,10,20
19000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
20000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
20000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
20000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
20000,male,0,0,10,9,0,0,10,10,0,0,10,10,20
20000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
21000,female,0,0,9,10,0,0,10,10,0,0,9,10,20
21000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
21000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
21000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
21000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
21000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
21000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
22000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
22000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
22000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
22000,male,0,0,10,10,0,0,9,10,0,0,9,10,20
22000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
23000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
23000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
23000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
23000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
23000,female,0,0,11,9,0,0,10,10,0,0,10,10,20
23000,male,0,0,10,10,0,0,11,10,0,0,11,10,20
23000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
23000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
24000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
25000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
25000,female,0,0,9,10,0,0,11,11,0,0,9,10,20
26000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
26000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
26000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
27000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
27000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
27000,female,0,0,10,10,0,0,11,10,0,0,11,10,20
27000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
28000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
28000,female,0,0,10,11,0,0,10,11,0,0,10,11,20
29000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
29000,male,0,0,11,10,0,0,10,11,0,0,11,11,20
30000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
30000,female,0,0,11,10,0,0,10,9,0,0,10,9,20
30000,female,0,0,9,10,0,0,9,10,0,0,9,10,20
31000,female,0,0,10,10,0,0,9,10,0,0,10,10,20
32000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
32000,male,0,0,11,10,0,0,10,10,0,0,11,10,20
32000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
32000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
32000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
33000,female,0,0,10,9,0,0,10,10,0,0,10,9,20
33000,female,0,0,10,10,0,0,10,11,0,0,10,11,20
33000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
33000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
33000,male,0,0,10,10,0,0,9,10,0,0,10,10,20
33000,male,0,0,10,10,0,0,9,10,0,0,10,10,20
33000,female,0,0,9,10,0,0,10,10,0,0,9,10,20
34000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
34000,female,0,0,11,9,0,0,9,10,0,0,11,10,20
35000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
36000,female,0,0,11,10,0,0,10,10,0,0,11,10,20
36000,male,0,0,9,10,0,0,10,11,0,0,9,10,20
36000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
36000,female,0,0,10,11,0,0,11,10,0,0,11,10,20
36000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
37000,male,0,0,10,10,0,0,11,10,0,0,10,10,20
38000,female,0,0,9,10,0,0,10,10,0,0,10,10,20
38000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
38000,female,0,0,9,10,0,0,10,10,0,0,10,10,20
38000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
38000,male,0,0,10,10,0,0,11,10,0,0,11,10,20
38000,female,0,0,10,11,0,0,9,10,0,0,9,11,20
38000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
38000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
39000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
39000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
39000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
40000,female,0,0,10,9,0,0,10,10,0,0,10,10,20
40000,male,0,0,10,11,0,0,9,10,0,0,9,11,20
40000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
40000,male,0,0,11,10,0,0,10,10,0,0,10,10,20
40000,female,0,0,10,10,0,0,11,10,0,0,11,10,20
40000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
40000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
41000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
41000,male,0,0,11,10,0,0,10,10,0,0,11,10,20
41000,female,0,0,10,10,0,0,10,11,0,0,10,10,20
41000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
41000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
42000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
42000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
43000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
43000,male,0,0,10,9,0,0,10,10,0,0,10,9,20
43000,female,0,0,10,10,0,0,9,10,0,0,10,10,20
43000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
43000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
43000,female,0,0,10,10,0,0,9,9,0,0,9,9,20
44000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
44000,male,0,0,9,10,0,0,10,10,0,0,10,10,20
44000,female,0,0,11,10,0,0,9,9,0,0,9,9,20
44000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
45000,female,0,0,10,10,0,0,9,12,0,0,9,10,20
45000,female,0,0,11,10,0,0,10,10,0,0,10,10,20
45000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
46000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
46000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
46000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
47000,male,0,0,11,10,0,0,10,9,0,0,11,10,20
47000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
47000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
47000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
47000,male,0,0,10,11,0,0,11,10,0,0,10,10,20
47000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
47000,female,0,0,10,10,0,0,10,9,0,0,10,10,20
47000,female,0,0,9,10,0,0,10,10,0,0,9,10,20
48000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
48000,female,0,0,11,11,0,0,10,9,0,0,11,11,20
48000,female,0,0,10,9,0,0,10,10,0,0,10,9,20
48000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
48000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
49000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
49000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
49000,female,0,0,10,10,0,0,10,9,0,0,10,10,20
49000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
49000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
49000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
50000,male,0,0,11,10,0,0,10,10,0,0,11,10,20
50000,male,0,0,10,9,0,0,10,10,0,0,10,9,20
50000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
50000,male,0,0,10,10,0,0,11,10,0,0,11,10,20
50000,female,0,0,10,10,0,0,9,10,0,0,9,10,20
51000,female,0,0,9,10,0,0,9,10,0,0,9,10,20
51000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
51000,female,0,0,11,10,0,0,10,10,0,0,11,10,20
51000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
51000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
51000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
51000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
52000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
52000,male,0,0,11,10,0,0,10,10,0,0,11,10,20
52000,female,0,0,10,10,0,0,11,10,0,0,10,10,20
53000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
53000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
53000,male,0,0,10,10,0,0,11,10,0,0,11,10,20
53000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
53000,female,0,0,9,10,0,0,9,10,0,0,9,10,20
54000,male,0,0,10,10,0,0,10,9,0,0,10,10,20
54000,male,0,0,10,10,0,0,11,10,0,0,10,10,20
54000,female,0,0,10,10,0,0,9,10,0,0,10,10,20
54000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
54000,male,0,0,9,10,0,0,10,10,0,0,9,10,20
54000,male,0,0,9,10,0,0,10,10,0,0,9,10,20
54000,female,0,0,11,10,0,0,10,10,0,0,11,10,20
55000,female,0,0,9,10,0,0,10,10,0,0,10,10,20
55000,female,0,0,10,10,0,0,8,10,0,0,8,10,20
55000,male,0,0,11,10,0,0,10,10,0,0,11,10,20
55000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
56000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
56000,male,0,0,10,10,0,0,9,11,0,0,9,11,20
56000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
56000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
57000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
57000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
58000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
58000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
58000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
58000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
58000,male,0,0,11,10,0,0,10,10,0,0,11,10,20
58000,female,0,0,11,10,0,0,10,10,0,0,10,10,20
59000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
59000,female,0,0,10,10,0,0,10,9,0,0,10,10,20
59000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
60000,male,0,0,11,10,0,0,10,10,0,0,10,10,20
60000,female,0,0,10,9,0,0,10,11,0,0,10,9,20
60000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
60000,male,0,0,9,10,0,0,10,10,0,0,10,10,20
60000,male,0,0,10,9,0,0,9,10,0,0,10,10,20
60000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
60000,female,0,0,9,10,0,0,10,10,0,0,9,10,20
61000,male,0,0,10,10,0,0,9,10,0,0,10,10,20
61000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
61000,female,0,0,11,10,0,0,10,10,0,0,10,10,20
61000,female,0,0,10,10,0,0,10,9,0,0,10,9,20
61000,female,0,0,10,9,0,0,10,10,0,0,10,10,20
61000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
62000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
62000,female,0,0,10,10,0,0,11,10,0,0,11,10,20
62000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
63000,female,0,0,10,10,0,0,11,10,0,0,10,10,20
63000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
63000,male,0,0,10,10,0,0,8,10,0,0,10,10,20
63000,male,0,0,9,10,0,0,10,9,0,0,9,9,20
63000,female,0,0,10,11,0,0,11,10,0,0,10,11,20
64000,male,0,0,10,10,0,0,9,10,0,0,10,10,20
64000,female,0,0,9,10,0,0,10,10,0,0,9,10,20
64000,male,0,0,9,10,0,0,11,10,0,0,11,10,20
64000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
64000,female,0,0,9,10,0,0,10,10,0,0,10,10,20
64000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
64000,female,0,0,10,10,0,0,9,10,0,0,10,10,20
65000,female,0,0,10,9,0,0,10,10,0,0,10,9,20
66000,female,0,0,9,10,0,0,10,10,0,0,10,10,20
66000,female,0,0,10,9,0,0,10,10,0,0,10,10,20
66000,female,0,0,10,10,0,0,9,10,0,0,10,10,20
66000,female,0,0,9,10,0,0,10,10,0,0,9,10,20
66000,male,0,0,9,10,0,0,10,10,0,0,9,10,20
67000,male,0,0,10,10,0,0,10,11,0,0,10,10,20
67000,female,0,0,10,9,0,0,9,10,0,0,9,9,20
67000,male,0,0,10,9,0,0,11,7,0,0,10,7,20
67000,male,0,0,9,10,0,0,10,10,0,0,9,10,20
67000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
67000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
67000,female,0,0,10,10,0,0,10,11,0,0,10,10,20
68000,male,0,0,10,9,0,0,10,10,0,0,10,9,20
68000,female,0,0,10,10,0,0,10,11,0,0,10,10,20
68000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
68000,female,0,0,10,10,0,0,9,11,0,0,10,10,20
68000,female,0,0,10,10,0,0,9,10,0,0,9,10,20
68000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
68000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
69000,male,0,0,10,10,0,0,11,10,0,0,11,10,20
69000,male,0,0,10,10,0,0,11,9,0,0,11,10,20
69000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
69000,male,0,0,9,10,0,0,10,10,0,0,10,10,20
69000,male,0,0,10,8,0,0,10,8,0,0,10,8,20
69000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
69000,male,0,0,10,10,0,0,10,11,0,0,10,11,20
69000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
69000,male,0,0,9,9,0,0,10,10,0,0,10,10,20
70000,female,0,0,10,10,0,0,9,9,0,0,9,10,20
70000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
70000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
70000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
70000,male,0,0,9,10,0,0,10,10,0,0,9,10,20
71000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
71000,female,0,0,10,9,0,0,10,10,0,0,10,9,20
72000,male,0,0,10,10,0,0,9,11,0,0,10,11,20
72000,male,0,0,9,10,0,0,10,10,0,0,9,10,20
72000,female,0,0,10,10,0,0,9,10,0,0,10,10,20
72000,male,0,0,9,10,0,0,10,10,0,0,10,10,20
72000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
72000,female,0,0,10,9,0,0,10,10,0,0,10,10,20
72000,female,0,0,10,10,0,0,9,10,0,0,9,10,20
72000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
73000,female,0,0,9,9,0,0,10,10,0,0,9,10,20
73000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
73000,male,0,0,10,10,0,0,10,9,0,0,10,10,20
73000,female,0,0,9,10,0,0,10,10,0,0,10,10,20
73000,male,0,0,10,10,0,0,10,8,0,0,10,10,20
74000,male,0,0,10,10,0,0,9,10,0,0,10,10,20
74000,female,0,0,9,10,0,0,9,10,0,0,9,10,20
74000,female,0,0,9,10,0,0,9,10,0,0,9,10,20
74000,female,0,0,10,10,0,0,9,9,0,0,9,9,20
74000,male,0,0,11,10,0,0,10,10,0,0,10,10,20
74000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
74000,male,0,0,10,10,0,0,10,9,0,0,10,10,20
75000,female,0,0,9,9,0,0,9,10,0,0,9,10,20
75000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
75000,male,0,0,12,10,0,0,9,10,0,0,12,10,20
75000,male,0,0,10,10,0,0,9,10,0,0,10,10,20
75000,female,0,0,9,8,0,0,9,10,0,0,9,8,20
75000,male,0,0,10,8,0,0,10,10,0,0,10,10,20
75000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
75000,male,0,0,9,10,0,0,10,10,0,0,10,10,20
76000,male,0,0,11,10,0,0,11,10,0,0,11,10,20
76000,female,0,0,9,10,0,0,11,10,0,0,11,10,20
76000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
76000,male,0,0,9,10,0,0,10,9,0,0,10,10,20
76000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
76000,female,0,0,10,10,0,0,9,10,0,0,9,10,20
76000,male,0,0,10,11,0,0,10,10,0,0,10,11,20
76000,female,0,0,10,8,0,0,10,10,0,0,10,10,20
76000,male,0,0,9,10,0,0,10,10,0,0,10,10,20
77000,female,0,0,9,9,0,0,10,10,0,0,10,10,20
77000,female,0,0,9,10,0,0,10,10,0,0,10,10,20
77000,male,0,0,9,9,0,0,10,8,0,0,10,9,20
77000,female,0,0,10,10,0,0,11,11,0,0,10,11,20
77000,male,0,0,11,10,0,0,10,10,0,0,11,10,20
77000,female,0,0,10,10,0,0,9,10,0,0,10,10,20
78000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
78000,male,0,0,10,11,0,0,10,10,0,0,10,10,20
78000,male,0,0,9,10,0,0,10,10,0,0,9,10,20
78000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
78000,male,0,0,10,10,0,0,9,9,0,0,10,9,20
78000,female,0,0,11,10,0,0,10,10,0,0,10,10,20
78000,female,0,0,9,10,0,0,9,10,0,0,9,10,20
78000,male,0,0,10,10,0,0,9,10,0,0,10,10,20
79000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
79000,female,0,0,11,10,0,0,11,10,0,0,11,10,20
79000,female,0,0,10,10,0,0,11,10,0,0,11,10,20
79000,male,0,0,10,9,0,0,11,10,0,0,11,10,20
79000,female,0,0,10,9,0,0,11,10,0,0,11,10,20
79000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
80000,male,0,0,10,10,0,0,11,10,0,0,11,10,20
80000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
80000,male,0,0,9,10,0,0,9,9,0,0,9,10,20
80000,female,0,0,9,9,0,0,10,10,0,0,10,10,20
80000,male,0,0,10,10,0,0,10,10,0,0,10,10,20
81000,female,0,0,10,9,0,0,10,10,0,0,10,10,20
81000,female,0,0,9,10,0,0,9,10,0,0,9,10,20
81000,female,0,0,10,10,0,0,10,8,0,0,10,8,20
81000,female,0,0,10,10,0,0,10,10,0,0,10,10,20
81000,male,0,0,10,10,0,0,9,10,0,0,10,10,20
