day,osr,asr,psr,femalePC,malePC,preference,ornaments,popSize,mateMale,mateFemale,careMale,careFemale,recoMale,recoFemale,juvMale,juvFemale
0,0.5,0.5,0.5,10,10,0,0,2080,0,0,991,990,0,0,58,41
10000,0.31105,0.48497,0.486842,9.9905,10.0029,0,0,8949,548,810,3682,3682,0,0,110,117
20000,0.479532,0.497932,0.477912,9.993,9.98886,0,0,8711,330,359,3883,3888,0,0,122,129
30000,0.511199,0.502415,0.567857,9.92175,9.97148,0,0,8767,417,390,3847,3834,0,0,156,123
40000,0.420744,0.492268,0.509653,9.8892,9.96171,0,0,8854,369,536,3861,3830,0,0,131,127
50000,0.404449,0.492211,0.461832,9.83083,9.94308,0,0,8731,419,599,3755,3703,0,0,115,140
60000,0.541274,0.507265,0.534483,9.74818,9.88264,0,0,8768,454,384,3875,3822,0,0,127,106
70000,0.45,0.498477,0.470356,9.62346,9.81645,0,0,8788,401,493,3852,3786,0,0,120,136
80000,0.502674,0.505169,0.534413,9.51039,9.72968,0,0,8660,414,426,3834,3737,0,0,132,117
90000,0.482955,0.506293,0.5625,9.33562,9.61689,0,0,8760,416,457,3892,3743,0,0,142,110
100000,0.396552,0.498925,0.532189,9.05439,9.48205,0,0,8605,421,619,3756,3581,0,0,123,105
110000,0.319966,0.490177,0.483193,8.74625,9.28112,0,0,8331,352,799,3618,3325,0,0,112,125
120000,0.374761,0.502302,0.447368,8.41813,9.05107,0,0,8263,416,666,3619,3336,0,0,102,124
130000,0.35163,0.498372,0.588983,8.07504,8.85454,0,0,8222,414,739,3567,3267,0,0,138,97
140000,0.387037,0.508388,0.457778,7.78074,8.6155,0,0,8091,444,672,3556,3194,0,0,104,121
150000,0.314759,0.490663,0.516908,7.56084,8.373,0,0,7815,395,875,3335,2999,0,0,109,102
160000,0.343023,0.499738,0.522321,7.26389,8.08898,0,0,7867,437,825,3384,2996,0,0,116,109
170000,0.334992,0.504145,0.471154,6.90867,7.91309,0,0,7686,438,868,3336,2842,0,0,94,108
180000,0.327909,0.501082,0.505051,6.78538,7.80804,0,0,7590,443,852,3261,2831,0,0,101,102
190000,0.335843,0.496405,0.491379,6.57038,7.51908,0,0,7467,426,845,3163,2797,0,0,117,119
200000,0.329259,0.499501,0.53202,6.44626,7.41856,0,0,7220,464,854,3043,2659,0,0,107,93
210000,0.358605,0.504164,0.45509,6.33786,7.27992,0,0,7370,472,841,3156,2731,0,0,79,91
220000,0.334548,0.492279,0.566327,6.30847,7.10589,0,0,7187,449,859,2990,2689,0,0,113,87
230000,0.362285,0.496645,0.485437,6.18375,7.02191,0,0,7211,449,804,3026,2723,0,0,103,106
240000,0.3749,0.506406,0.534314,6.04631,6.95942,0,0,7147,452,778,3065,2645,0,0,111,96
250000,0.309524,0.482114,0.461538,5.97141,6.74429,0,0,6961,436,964,2837,2553,0,0,75,96
260000,0.315038,0.492433,0.484472,5.88857,6.67976,0,0,6901,454,941,2863,2482,0,0,79,82
270000,0.301043,0.490057,0.452632,5.76311,6.65568,0,0,6674,433,960,2745,2349,0,0,85,102
280000,0.332847,0.4945,0.484663,5.74341,6.60587,0,0,6711,448,895,2787,2417,0,0,79,85
290000,0.338565,0.505244,0.491525,5.66546,6.58149,0,0,6657,460,863,2813,2346,0,0,84,91
300000,0.312405,0.494419,0.454054,5.66305,6.52815,0,0,6642,466,928,2725,2334,0,0,87,102
310000,0.323944,0.497846,0.478788,5.55828,6.56155,0,0,6434,427,887,2692,2261,0,0,82,85
320000,0.350592,0.500536,0.489362,5.55408,6.44696,0,0,6712,440,869,2825,2391,0,0,91,96
330000,0.359586,0.499923,0.413043,5.64803,6.37433,0,0,6708,455,841,2806,2421,0,0,76,109
340000,0.349769,0.496566,0.508772,5.58539,6.32836,0,0,6435,476,859,2638,2293,0,0,85,84
350000,0.386568,0.50555,0.444444,5.52301,6.25165,0,0,6497,453,722,2733,2401,0,0,86,102
360000,0.358974,0.494435,0.508671,5.43219,6.16921,0,0,6282,457,843,2564,2245,0,0,86,87
370000,0.326168,0.493614,0.487342,5.34582,6.06073,0,0,6191,438,882,2540,2168,0,0,77,86
380000,0.34551,0.500955,0.483871,5.32835,5.98861,0,0,5881,463,829,2425,2041,0,0,58,65
390000,0.409809,0.505981,0.50625,5.58205,6.1001,0,0,6094,446,692,2556,2239,0,0,80,81
400000,0.35081,0.493144,0.47619,5.60578,5.98923,0,0,6126,475,837,2471,2192,0,0,73,78
410000,0.375378,0.51205,0.554054,5.52636,5.99643,0,0,5880,461,760,2471,2034,0,0,86,68
420000,0.34277,0.514414,0.486486,5.57008,6.06503,0,0,5736,447,825,2428,1888,0,0,74,74
430000,0.314367,0.493934,0.48366,5.60074,6.06271,0,0,5916,429,972,2417,1948,0,0,75,75
440000,0.345455,0.505018,0.540373,5.69463,6.09449,0,0,5842,432,825,2434,1983,0,0,90,78
450000,0.318412,0.50181,0.459259,5.56408,6.00424,0,0,5657,407,929,2366,1821,0,0,62,72
460000,0.371291,0.502,0.450549,5.81106,5.91219,0,0,5933,454,774,2434,2090,0,0,83,98
470000,0.339941,0.501409,0.467626,5.67389,5.80935,0,0,5817,458,879,2389,1949,0,0,63,79
480000,0.383886,0.507457,0.550336,5.81356,5.62037,0,0,5782,483,746,2375,2030,0,0,85,63
490000,0.377008,0.498814,0.521739,5.8987,5.4392,0,0,5617,469,740,2263,2008,0,0,72,65
500000,0.463148,0.511184,0.521127,5.73954,5.20867,0,0,5329,480,607,2171,1928,0,0,76,67
510000,0.457915,0.49792,0.512195,5.36125,4.86551,0,0,4454,517,667,1636,1503,0,0,67,64
520000,0.510896,0.492754,0.518072,5.09722,4.47109,0,0,3528,627,591,1076,1159,0,0,38,37
530000,0.522377,0.50046,0.414141,5.08869,4.32381,0,0,3360,707,616,923,1014,0,0,42,58
540000,0.555391,0.487942,0.476744,5.448,4.32205,0,0,3279,736,583,824,1051,0,0,41,44
550000,0.541573,0.498253,0.51087,5.28907,4.63589,0,0,3238,740,624,831,956,0,0,44,43
560000,0.548132,0.506028,0.476744,5.36873,4.90144,0,0,3409,768,631,912,1011,0,0,43,44
570000,0.527616,0.486938,0.5,5.55658,4.87737,0,0,3376,718,658,883,1033,0,0,43,41
580000,0.553267,0.506565,0.495238,5.59911,4.91154,0,0,3380,778,654,886,961,0,0,48,53
590000,0.509066,0.506233,0.505155,5.33265,5.44235,0,0,3391,726,698,941,926,0,0,49,51
600000,0.47451,0.508351,0.511364,4.94112,5.79112,0,0,3380,709,777,965,840,0,0,46,43
610000,0.469935,0.495189,0.49,5.17124,5.79726,0,0,3428,703,817,946,863,0,0,48,51
620000,0.52228,0.507744,0.459184,5.75192,5.51209,0,0,3390,785,713,888,908,0,0,44,52
630000,0.51808,0.50162,0.4,5.88489,5.8032,0,0,3501,772,733,931,961,0,0,41,63
640000,0.529044,0.505257,0.51087,5.90023,5.7618,0,0,3518,833,755,898,939,0,0,47,46
650000,0.446583,0.49238,0.564103,5.59043,6.57741,0,0,3533,683,826,999,908,0,0,65,52
660000,0.440657,0.508274,0.442478,5.27649,6.73379,0,0,3501,696,874,1027,792,0,0,48,64
670000,0.410693,0.501176,0.490909,5.0863,7.14383,0,0,3511,702,946,1003,750,0,0,53,57
680000,0.502442,0.515777,0.542553,5.47067,6.19481,0,0,3393,826,810,877,785,0,0,52,43
690000,0.418079,0.506802,0.461538,4.79637,6.99846,0,0,3251,654,917,949,643,0,0,41,47
700000,0.419637,0.509524,0.439024,5.01162,7.4541,0,0,3442,633,937,1079,711,0,0,35,47
710000,0.399024,0.494284,0.571429,5.02963,7.43218,0,0,3443,654,988,991,696,0,0,66,48
720000,0.393977,0.500147,0.509434,4.97603,7.89469,0,0,3504,629,999,1070,703,0,0,53,50
730000,0.425505,0.501459,0.59,5.44454,7.75262,0,0,3525,682,908,1037,801,0,0,56,41
740000,0.423367,0.50224,0.528302,5.57838,8.03532,0,0,3681,680,933,1112,848,0,0,60,48
750000,0.398784,0.512113,0.51145,5.16934,8.54953,0,0,3685,670,982,1149,750,0,0,69,65
760000,0.416716,0.503078,0.484536,5.40098,8.09398,0,0,3671,715,986,1083,789,0,0,47,51
770000,0.372232,0.493667,0.51145,5.57428,8.93436,0,0,3763,617,1046,1179,797,0,0,65,59
780000,0.396938,0.486326,0.389474,6.36855,8.31339,0,0,3644,676,1022,1048,800,0,0,38,60
790000,0.452909,0.510913,0.482456,6.62521,7.80356,0,0,3594,758,918,1017,786,0,0,55,60
800000,0.456853,0.499863,0.48,6.74993,7.61068,0,0,3763,802,952,1014,869,0,0,61,65
810000,0.53881,0.500697,0.448529,7.73766,6.5633,0,0,3728,954,828,845,965,0,0,61,75
820000,0.510927,0.483412,0.503937,7.75128,6.6911,0,0,3506,857,828,775,915,0,0,66,65
830000,0.591018,0.504084,0.513514,8.79491,5.95299,0,0,3574,989,698,739,1001,0,0,74,73
840000,0.578493,0.502364,0.462185,9.02368,6.2578,0,0,3716,1034,710,772,1078,0,0,57,65
850000,0.631079,0.486182,0.40367,9.75014,5.53667,0,0,3654,1055,632,668,1192,0,0,44,63
860000,0.620397,0.504153,0.459459,9.51115,6.01478,0,0,3721,1094,659,727,1129,0,0,49,63
870000,0.603241,0.486463,0.569231,9.36256,5.97609,0,0,3638,1015,681,693,1121,0,0,74,54
880000,0.568525,0.498476,0.509091,8.77037,6.71659,0,0,3719,969,731,825,1081,0,0,61,52
890000,0.633606,0.514261,0.483051,9.61873,6.08389,0,0,3588,1095,638,690,1047,0,0,55,63
900000,0.635781,0.497828,0.546392,9.74845,5.53035,0,0,3558,1095,620,624,1115,0,0,56,48
910000,0.653938,0.491714,0.544776,10.1504,5.47452,0,0,3631,1099,589,623,1190,0,0,69,61
920000,0.594444,0.492813,0.521008,9.47964,5.99265,0,0,3807,1075,715,741,1155,0,0,67,54
930000,0.6663,0.502245,0.522523,10.2094,5.20555,0,0,3678,1217,612,573,1162,0,0,59,55
940000,0.679332,0.498715,0.52,10.362,5.51282,0,0,3627,1162,581,584,1171,0,0,67,62
950000,0.596209,0.49153,0.550847,9.60371,6.14662,0,0,3717,1051,699,720,1132,0,0,61,54
960000,0.613611,0.503027,0.458333,9.55914,6.02644,0,0,3593,1093,673,654,1053,0,0,53,67
970000,0.635365,0.494774,0.5,10.4568,6.2765,0,0,3877,1171,640,678,1247,0,0,71,70
980000,0.645051,0.50445,0.441667,10.4168,5.74951,0,0,3601,1144,622,613,1104,0,0,53,65
990000,0.679757,0.495238,0.495495,11.0375,5.03995,0,0,3680,1221,584,546,1220,0,0,55,54
1000000,0.724157,0.510135,0.472,11.5656,5.03319,0,0,3676,1285,498,527,1242,0,0,58,66
1010000,0.698324,0.489045,0.50365,11.6964,5.11528,0,0,3834,1259,548,550,1345,0,0,68,64
1020000,0.702854,0.496864,0.438849,11.5806,5.12773,0,0,3805,1269,538,552,1305,0,0,63,78
1030000,0.698438,0.49882,0.531532,11.4943,5.17902,0,0,3927,1305,560,597,1351,0,0,60,54
1040000,0.652971,0.506878,0.471074,10.6374,6.17218,0,0,3897,1177,624,737,1240,0,0,56,63
1050000,0.634384,0.498626,0.432836,10.6061,6.53846,0,0,3770,1108,647,705,1180,0,0,58,72
1060000,0.623717,0.51027,0.507463,10.4712,6.79348,0,0,3835,1088,645,802,1167,0,0,67,66
